Ingredient,Quantity,Unit,Category,Recipe,Recipe Category,Recipe Difficulty,Calories,Carbohydrates,Proteins,Fats,Vitamins,Minerals,Dietary Preferences,Dietary Restrictions,Health Goals,Rating,Comments,Ingredient Substitutions,Serving Size,Prep Time (mins),Cook Time (mins)
Chicken,152,grams,Proteins,Chicken Stir-Fry,Dinner,Easy,354,43,25,36,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,4,Delicious!,Almond milk instead of cow milk,2,13,28
Broccoli,158,ounces,Vegetables,Broccoli Salad,Lunch,Medium,390,19,14,27,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,3,Needs more seasoning,Tofu instead of chicken,2,29,107
Rice,75,cups,Grains,Tomato Soup,Soup,Medium,347,43,42,27,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,5,Too salty,,1,21,27
Tomato,122,pieces,Fruits,Spinach Smoothie,Breakfast,Easy,206,9,14,12,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,1,Great recipe!,No substitutions,3,11,12
Spinach,112,slices,Dairy,Rice Pilaf,Snack,Hard,339,49,46,24,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,1,Easy to make,,2,55,112
Beef,52,grams,Proteins,Beef Stir-Fry,Dinner,Medium,172,11,19,14,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,2,Delicious!,Almond milk instead of cow milk,3,60,53
Lettuce,153,ounces,Vegetables,Lettuce Wraps,Lunch,Easy,479,22,47,9,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,2,Needs more seasoning,Tofu instead of chicken,4,43,62
Potato,76,cups,Grains,Mashed Potatoes,Side Dish,Medium,367,43,37,43,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,2,Too salty,,3,55,19
Carrot,131,pieces,Vegetables,Carrot Soup,Soup,Medium,482,49,46,44,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,3,Great recipe!,No substitutions,4,55,120
Onion,114,slices,Vegetables,Onion Rings,Snack,Medium,432,42,39,46,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,3,Easy to make,,3,5,104
Chicken,93,grams,Proteins,Chicken Stir-Fry,Dinner,Easy,210,21,40,26,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,2,Delicious!,Almond milk instead of cow milk,2,27,16
Broccoli,173,ounces,Vegetables,Broccoli Salad,Lunch,Medium,129,25,10,42,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,1,Needs more seasoning,Tofu instead of chicken,4,35,61
Rice,69,cups,Grains,Tomato Soup,Soup,Medium,134,6,17,16,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,1,Too salty,,1,48,23
Tomato,143,pieces,Fruits,Spinach Smoothie,Breakfast,Easy,447,36,5,13,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,1,Great recipe!,No substitutions,4,56,47
Spinach,187,slices,Dairy,Rice Pilaf,Snack,Hard,312,22,27,46,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,1,Easy to make,,3,6,105
Beef,127,grams,Proteins,Beef Stir-Fry,Dinner,Medium,442,27,13,40,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,2,Delicious!,Almond milk instead of cow milk,3,42,42
Lettuce,102,ounces,Vegetables,Lettuce Wraps,Lunch,Easy,212,5,48,33,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,4,Needs more seasoning,Tofu instead of chicken,3,22,105
Potato,57,cups,Grains,Mashed Potatoes,Side Dish,Medium,126,14,50,11,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,2,Too salty,,4,25,76
Carrot,181,pieces,Vegetables,Carrot Soup,Soup,Medium,255,32,35,47,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,2,Great recipe!,No substitutions,1,51,104
Onion,121,slices,Vegetables,Onion Rings,Snack,Medium,117,27,43,25,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,1,Easy to make,,3,14,74
Chicken,61,grams,Proteins,Chicken Stir-Fry,Dinner,Easy,430,48,25,50,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,5,Delicious!,Almond milk instead of cow milk,1,27,46
Broccoli,89,ounces,Vegetables,Broccoli Salad,Lunch,Medium,341,44,19,41,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,5,Needs more seasoning,Tofu instead of chicken,2,31,12
Rice,160,cups,Grains,Tomato Soup,Soup,Medium,395,24,45,26,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,5,Too salty,,1,58,33
Tomato,57,pieces,Fruits,Spinach Smoothie,Breakfast,Easy,288,49,42,37,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,4,Great recipe!,No substitutions,3,22,18
Spinach,80,slices,Dairy,Rice Pilaf,Snack,Hard,411,35,16,38,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,1,Easy to make,,3,46,86
